name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
uniper se,independent power producers and energy traders,xtra,düsseldorf,germany,6861,lewis michael,donges jutta,55.0,fortum oyj,kfw,plug power inc.,public joint stock company gazprom,rothschild & co sca,state oil company of the azerbaijan republic,tsakos energy navigation limited,tubos reunidos s.a.,volue insight as,,deutsche bahn ag,fortum oyj,pao novatek,public joint-stock company unipro,sefe securing energy for europe gmbh,,,,,,,board member,blades thomas ,seegatz harald ,zenke ines ,brinker werner ,buss judith ,notini magnus ,kirschner diana ,grzella holger 
hiscox ltd,property and casualty insurance,lse,pembroke,bermuda,3000,hussain hamayou,cooper paul,65.0,equiniti (jersey) limited,ondo insurtech plc,,,,,,,,,kb financial group inc.,,,,,,,,,,,board member,bloomer jonathan w.,hussain hamayou akbar,cooper paul david,musselle joanne riddick,pike lynn ann,keogh colin denis,demaio donnalee ann,macdonald anne 
airbus se,aerospace and defense,enxtpa,leiden,netherlands,141799,faury guillaume,toepfer thomas,75.0,ace capital partners,aersale corporation,airbus bank gmbh,airbus finance b.v.,aluminiumwerk unna ag,amprius technologies inc.,asia pacific aircraft component services sdn. bhd.,atos se,axiscades technologies limited,blacksky technology inc.,ahk air hong kong limited,air france-klm sa,air new zealand limited,air new zealand limited,aircastle limited,alaska airlines inc.,american airlines inc.,aviation capital group llc,avolon aerospace leasing limited,canada jetlines operations ltd,,board member,obermann rené richard,faury guillaume m.j.d,knittel c. jeffrey,moraleda martinez maria amparo,guillouard catherine renee anne,clamadieu jean-pierre ,crosby ralph dozier,nemat claudia 
axa sa,multi_line insurance,enxtpa,paris,france,92695,buberl thomas,de mailly nesle alban,80.0,al-dawaa medical services company,alliancebernstein holding l.p.,alphabet inc.,amazon.com inc.,aubay société anonyme,comarch s.a.,covivio,emakina group sa,infotel sa,it link sa,alliancebernstein l.p.,bao minh insurance corporation,crelan sa/nv,diagnostic and therapeutic center of athens hygeia sa,lion group holding ltd.,oman qatar insurance company saog,reliance insurance limited,the travelers companies inc.,tpl life insurance limited,w. r. berkley corporation,,board member,gosset-grainville antoine ,buberl thomas ,bébéar claude ,browne helen ,morelli marco ,hudson isabel frances,fernandez ramon ,faury guillaume m.j.d
compass group plc,restaurants,lse,chertsey,united kingdom,500000,blakemore dominic,brown charles,75.0,bcmglobal london limited,greggs plc,link market services limited,office properties income trust,tortilla mexican grill plc,,,,,,,,,,,,,,,,,board member,meakins ian k.,blakemore dominic ,brown charles palmer,green gary r.,nesmes anne-francoise ,bryant john a.,arrowsmith carol ,vittal ireena 
asr nederland nv,multi_line insurance,enxtam,utrecht,netherlands,5063,baeten jos p.,hollegien ewout,65.0,legal & general reinsurance company limited,,,,,,,,,,asn bank nv,,,,,,,,,,,board member,wijn joannes gerardus,hintzen herman c.,barendregt-roojers sonja ,van vollenhoven gisella ,van olphen gerard ,heijtmajer danielle jansen,friese e. ,
tag immobilien ag,real estate operating companies,xtra,hamburg,germany,1834,,thiel martin,55.0,cbre gmbh (germany),,,,,,,,,,tag colonia-immobilien ag,,,,,,,,,,,board member,borkers olaf g.,wagner philipp k.,ristow lutz r.,wellner kristin ,eifler björn ,schulz beate ,,
deutsche boerse ag,financial exchanges and data,xtra,eschborn,germany,11508,weimer theodor,pottmeyer gregor,85.0,eqs group ag,,,,,,,,,,,,,,,,,,,,,board member,jetter martin ,beck markus ,lambert barbara ,gottschling andreas peter,absenger nadine brandl,karle achim ,just-marx susann ,stonehill charles g.t.
bp plc,integrated oil and gas,lse,london,united kingdom,67600,auchincloss murray,thomson katherine,70.0,abraj energy services saog,aker carbon capture asa,alon refining krotz springs inc.,altera infrastructure l.p.,ardmore shipping corporation,aurizon holdings limited,bam infra energie & water zuid bv,bonheur asa,bp finance p.l.c.,bp international limited,agência nacional do petróleo gás natural e biocombustíveis,ahtna incorporated,arko corp.,azerbaijan international operating company,beach energy limited,crossamerica partners lp,dcc plc,dcc retail & oil limited,efr group bv,enn group international investment limited,,board member,lund helge ,auchincloss murray ,reynolds paula g. rosput,meyer melody boone,morzaria tushar ,sawers john ,daley pamela ,teyssen johannes a.
cts eventim ag & co kgaa,movies and entertainment,xtra,bremen,germany,3469,schulenberg klaus-peter,hohrein holger,,eventim management ag,kps group inc.,,,,,,,,,beijing byte dance telecommunications co. ltd.,kps group inc.,societe reseau france billet,,,,,,,,,board member,kundrun bernd ,baur cornelius ,schulenberg juliane ,westermeyer philipp ,,,,
