name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
vivendi se,broadcasting,enxtpa,paris,france,35000,de puyfontaine arnaud,laroze francois,,mediobanca banca di credito finanziario s.p.a.,neurones s.a.,rosetta marketing group llc,rothschild & co sca,silly monks entertainment limited,telecom italia s.p.a.,telecom italia s.p.a.,universal music group treasury sas,,,altice europe n.v,telecom italia s.p.a.,tim s.a.,universal international music b.v.,universal music group n.v.,universal music group inc.,,,,,bollore yannick ,benacin philippe ,bollore vincent ,lawson-hall catherine f.l.,stanton katie j.,cardoso paulo ,driot-argentin véronique ,bihan sandrine le,reiser michèle ,bollore cyrille m.c.
entain plc,casinos and gaming,lse,london,united kingdom,24063,nygaard-andersen jette,wood rob,45.0,bragg gaming group inc.,europort five limited,evolution ab (publ),fantasma games ab (publ),fourcubed acquisition company llc,gambling.com group limited,gaming realms plc,genius sports limited,inspired entertainment inc.,kroll llc,betmgm llc,tab new zealand,,,,,,,,,,nygaard-andersen jette ,wood rob m.,mcdowell virginia m.,bouchut pierre bruno charles,david stella julie,satz david m.,,,
addlife ab,life sciences tools and services,om,stockholm,sweden,2296,dalborg fredrik,rubenhag christina,,mgi tech co. ltd.,,,,,,,,,,rikshospitalet university hospital,,,,,,,,,,sjo johan ,roos håkan ,nilsagard eva ,hedelius stefan ,norinder birgit stattin,elmstedt eva ,,,,
international consolidated airlines group sa,passenger airlines,lse,harmondsworth,united kingdom,68477,gallego martin luis,cadbury nicholas,55.0,airbus se,aurrigo international plc,computershare investor services plc,dunwoody airline services (holdings) limited,john menzies plc,multiservicios aeroportuarios s.a.,phillips 66 limited,qatar airways limited,serpista sa,the boeing company,dunwoody airline services (holdings) limited,empresa hispano cubana de mantenimiento de aeronaves ibeca sa,lanzajet inc.,multiservicios aeroportuarios s.a.,qatar airways limited,serpista sa,travelport lp,,,,,gallego martin luis ,embleton lynne ,doyle sean liam,sansavini marco ,daniels adam ,candela fernando ,ewing margaret ,mcsharry heather ann,de torres emilio saracho rodríguez 
addtech ab,trading companies and distributors,om,stockholm,sweden,4108,stenberg niklas,enarson malin,,euroclear sweden ab,,,,,,,,,,,,,,,,,,,,eriksson kenth ,stenberg niklas ,nordesjo malin ,mattsson ulf ,hedelius henrik ,schaeferdiek annikki ,,,,
arcelormittal sa,steel,enxtam,luxembourg city,luxembourg,154352,mittal aditya,christino genuino jose,55.0,alkat sa,alpha metallurgical resources inc.,am/ns calvert llc,amns india limited,anglo american metallurgical coal pty ltd.,anglo american plc,anglo coal limited,aperam s.a.,arcelormittal gonvarri brasil produtos siderúrgicos s.a.,arcelormittal gonvarri ssc slovakia s.r.o.,ab snaige,alkat sa,am/ns calvert llc,aperam s.a.,arcelormittal cln distribuzione italia srl,arcelormittal gonvarri brasil produtos siderúrgicos s.a.,arcelormittal gonvarri ssc slovakia s.r.o.,arcelormittal rzk celik servis merkezi sanayi ve ticaret anonim sirketi,arcelormittal south africa limited,arcelormittal ssc ab,,mittal aditya ,lafont bruno ,ovelmen karyn f.,lins clarissa de araujo,mittal bhatia vanisha ,leon wurth michel alphonse,burt tye w.,de gucht karel ,schneider etienne 
zur rose group ag,drug retail,swx,frauenfeld,switzerland,2283,hess walter,ziwica marcel,,,,,,,,,,,,datamediq gmbh,polyrose ag,well gesundheit ag,,,,,,,,oberhansli walter ,feuerstein stefan ,mielsch christian ,seubert florian ,belliger andrea ,hu rongrong ,,,,
anglo american plc,diversified metals and mining,lse,london,united kingdom,105000,wanblad duncan,pearce stephen,65.0,boom logistics limited,computershare investor services 2004 (proprietary) limited,copec s.a.,corinth pipeworks s.a.,cosol australia pty ltd,dra global limited,epiroc ab (publ),equiniti limited,ferrocarril del pacífico s.a.,foraco international sa,anglo american platinum limited,anglo american platinum limited,arcelormittal s.a.,ternium s.a.,thungela resources limited,,,,,,,wanblad duncan graham,pearce stephen thomas,ashby ian robert,maxson hilary barbara,tyler ian paul,bastos marcelo ,nyasulu thembalihle hixonia,nyembezi nonkululeko merina cheryl,anderson magali 
valeo se,automotive parts and equipment,enxtpa,paris,france,109900,perillat-piratoine christophe,charvier robert,50.0,actron technology corporation,c2a security ltd.,chiyoda integre co.ltd.,constellium se,cwb automotive electronics co. ltd.,dalian demaishi precision technology co. ltd.,eurogroup laminations s.p.a.,igarashi motors india limited,it link sa,kodaco co. ltd,abes technoseal,auto partner sa,chrysler motors llc,fca us llc,hudaco trading (pty) ltd.,ichikoh industries ltd.,nissan motor co. ltd.,pl group s.a.,tye soon limited,,,perillat-piratoine christophe ,moulonguet thierry b.,weill veronique ,steinhorst ulrike ,jego-laveissiere marie-noelle ,bezard bruno ,sayer patrick georges,frachet stéphanie ,avrane-chopard julie 
faurecia se,automotive parts and equipment,enxtpa,nanterre,france,155840,koller patrick,durand olivier,45.0,bulten ab (publ),caceis corporate trust,cie automotive india limited,dassault systèmes se,edp - energias de portugal s.a.,engie sa,esi group sa,european investment bank,eva precision industrial holdings limited,grupo antolin-irausa s.a.u.,bayerische motoren werke aktiengesellschaft,california energy commission,capita customer management limited,changan inc.,ct automotive group plc,dr. ing. h.c. f. porsche ag,ford motor company,general motors company,hyvia sas,renault-nissan b.v.,,koller patrick ,delabrière yann ,desforges odile ,mercier denis ,levy jean-bernard ,peugeot robert ,herscher penelope a.,landon valerie ,bernardino daniel 
technipfmc plc,oil and gas equipment and services,nyse,newcastle upon tyne,united kingdom,20301,pferdehirt douglas,melin alf,50.0,ani integrated services limited,aprogen medicines inc.,bank of america national association,bomesc offshore engineering company limited,citibank n.a.,cords cable industries limited,corinth pipeworks s.a.,dnb bank asa - new york branch,dnb capital llc,dof asa,abu dhabi national oil company,aker bp asa,dofcon navegacao ltda,energean plc,esso exploration and production guyana ltd.,harvest technology group limited,indian oil corporation limited,infraestructura energética nova s. a. p. i. de c. v.,ithaca energy (uk) limited,karoon energy ltd,,o'leary john c. g.,priestly kay grace,farley claire scobee,de carvalho filho eleazar ,yearwood john anthony,oevrum margareth ,zurquiyah-rousset sophie ,gwin robert g.,
prudential plc,life and health insurance,lse,london,united kingdom,14676,wadhwani anil,bulmer ben,75.0,m&g plc,ppm america inc.,rothschild & co sca,sanne group plc,,,,,,,cimb bank philippines inc.,g-xchange inc.,jackson financial inc.,ppm holdings inc.,prudential financial inc.,pulsent corporation,shopee singapore private limited,standard chartered bank,united overseas bank limited,,vadera shriti vinodkant,wadhwani anil ,law david john alexander,anderson jeremy david-bruce,chua sock koong ,sartorel george david,yip yok tak amy ,lu ming ,wong kai yuan ,basu arijit 
thg plc,broadline retail,lse,manchester,united kingdom,8239,moulding matthew,sanders damian,25.0,autostore holdings ltd.,barclays bank plc,bynder limited,citibank n.a. london branch,content square sas,equiniti group limited,hsbc bank plc,jpmorgan chase & co.,liveramp holdings inc.,national westminster bank plc,asda group limited,co-operative group limited,coca-cola europacific partners plc,costco wholesale corporation,family mart ltd,live verdure ltd,matalan limited,mondelez international inc.,philip morris international inc.,tesco plc,,moulding matthew j.,sanders damian ,gallemore john andrew,mcdonald iain ,kent gillian d. c.,moore dean roderick,farr sue ,koopman edward johan,jones helen victoria
commerzbank ag,diversified banks,xtra,frankfurt am main,germany,37487,knof manfred,orlopp bettina,70.0,allianz se,alstria office reit-ag,aukett swanke group plc,avangard joint stock bank,capitaland integrated commercial trust,comdirect bank ag,dianomi plc,mbank s.a.,spie gmbh,syzygy ag,adesso se,adtran networks se,akasol ag,allgeier se,ansaldo energia s.p.a.,avangard joint stock bank,avantum consult ag,banco de chile,banco itaú chile,banco santander-chile,,tschäge uwe ,müller klaus-peter ,tumpel-gugerell gertrude ,westhoff frank ,keese burkhard ,donges jutta anneliese,czichowski frank ,leuchters maxi ,lürßen friedrich 
s4 capital plc,advertising,lse,london,united kingdom,8551,,basterfield mary,35.0,share registrars limited,,,,,,,,,,allianz se,alphabet inc.,amazon.com inc.,apple inc.,bayerische motoren werke aktiengesellschaft,canva inc.,constellation brands inc.,hp inc.,meta platforms inc.,microsoft corporation,sorrell martin s.,basterfield mary margaret,ter haar wesley ,knaap victor ,martin christopher s.,spirit scott edward,roy paul david,day colin richard,walker rupert faure,pinto daniel emile
dufry ag,other specialty retail,swx,basel,switzerland,23779,espel xavier,gerster yves,45.0,abasic s.l.u.,absolut vodka,adidas ag,aerodrom nikola tesla a.d.,aeroporto internacional de guarulhos/são paulo - governador andre franco montoro,aeropuertos dominicanos siglo xxi sa,alfred dunhill ltd.,altria group inc.,apple inc.,arlanda airport,dufry international ag,lojas francas de portugal s.a.,the nuance group (australia) pty ltd,the nuance group (sverige) ab,,,,,,,,kahale sami ,benetton alessandro ,min heekyung ,camino luis maroto,guilfoile mary j. steele,bouton xavier ,moya-angeler cabrera joaquín ,tyler-cagni lynda christine,sen ranjan 
antofagasta plc,copper,lse,london,united kingdom,7494,arriagada herrera ivan,ortiz mauricio,60.0,artikos chile s.a.,caterpillar inc.,compañía de inversiones adriático s.a,computershare investor services plc,enex s.a.,hapag-lloyd aktiengesellschaft,komatsu ltd.,,,,barrick gold corporation,compañia minera zaldívar spa,,,,,,,,,fontbona jean-paul luksic,soza vivianne amelia blanlot,castro fones francisca ,jensen tony alan,jara ramon f.,gonzlez claro juan ,luksic craig andronico mariano,bande jorge ,anglin arthur edward michael,parot maria eugenia
husqvarna ab,agricultural and farm machinery,om,stockholm,sweden,14371,hajman pavel,burke terry,60.0,euroclear sweden ab,hcl technologies limited,nolato ab (publ),oem international ab (publ),remsons industries limited,suprajit engineering limited,,,,,bhg group ab (publ),lowe's companies inc.,,,,,,,,,johnstone thomas ,pettersson lars ,bonde ingrid ,martinson katarina ,nodhall daniel ,neuschwander bertrand ,robins christine marie,byström dan ,krantz anders ,loof torbjorn 
continental ag,automotive parts and equipment,xtra,hanover,germany,203746,setzer nikolai,durrfeld katja,60.0,aeye inc.,autostore holdings ltd.,cerence inc.,chiyoda integre co.ltd.,cpi property group,cwb automotive electronics co. ltd.,dalian demaishi precision technology co. ltd.,data i/o corporation,everbridge inc.,global pmx co. ltd.,aeye inc.,auto partner sa,ford motor company,mercedes-benz group ag,oponeo.pl s.a.,renault-nissan b.v.,renault-nissan-mitsubishi fund,stamford tyres corporation limited,stellantis n.v.,travelcenters of america inc.,,benner christiane ,scholz stefan ,nonnenmacher rolf ,schonfelder jorg ,nordmann dirk ,iglhaut michael ,schaeffler georg f. w.,dunkel gunter ,rosenfeld klaus 
sopra steria group sa,it consulting and other services,enxtpa,paris,france,53954,malarge cyril,du vignaux etienne,,ace capital partners,axway software sa,eric hayat conseil,gitlab inc.,itcons e-solutions limited,questback group as,sopra gmt sa,unibail-rodamco-westfield se,,,airbus s.a.s.,axway software sa,axway software sa,bnp paribas sa,cabinet office,conservatoire national des arts et métiers,crédit agricole s.a.,department for work and pensions,electricité de france s.a.,french ministry for the economy and finance,pasquier pierre ,hayat eric ,pasquier eric ,clark bracco kathleen ,placet jean-luc ,rigal-drogerys marie-helene ,anciaux astrid ,remond sylvie ,scale jessica ,gollner michael 
jd sports fashion plc,other specialty retail,lse,bury,united kingdom,75149,schultz regis,greenhalgh neil,,adidas ag,apex global brands inc.,attraqt group plc,balanced commercial property trust ltd,berghaus limited,british land company plc,capitaland integrated commercial trust,capitaland malaysia trust,csmall group limited,eagle eye solutions group plc,focus group holdings limited,gol realisations limited,kukri sports ltd.,pentland capital limited,topgrade sportswear ltd.,,,,,,,schultz regis andre,greenhalgh neil ,ashton helen jane,williams suzanne dorothy,smith kathryn louise,long andrew michael,hoyt hubertus georg,sabetnia mahbobeh ,dyson ian 
bechtle ag,it consulting and other services,xtra,neckarsulm,germany,14505,olemotz thomas,sagowski stefan,,megaport limited,owl labs inc,usu software ag,,,,,,,,,,,,,,,,,,winkler klaus ,drautz uli ,dobitsch kurt ,eberle daniela ludewig,hess thomas ,unser michael ,koenig elmar ,stegmann sandra ,grünert lars ,reichart elke 
deutsche bank ag,diversified capital markets,xtra,frankfurt am main,germany,87055,sewing christian,von moltke james,70.0,aukett swanke group plc,bgc group inc.,bottomline technologies inc.,british land company plc,ctbc bank co. ltd.,dic asset ag,dws group gmbh & co. kgaa,emakina belgique sa,emakina group sa,gft technologies se,accell group n.v.,acerinox s.a.,acleda bank plc.,adesso se,adtran networks se,aeg jd 01 limited,aeg mh 03 limited,akasol ag,akzo nobel pakistan limited,amadeus fire ag,,winkeljohann norbert ,schulze frank ,thain john alexander,clark mayree carroll,valcarcel dagmar ,witter frank ,mark henriette ,griswold benjamin howard,martin lynn morley
standard chartered plc,diversified banks,lse,london,united kingdom,85993,winters william,halford andrew,65.0,adn telecom limited,aubay société anonyme,bao viet holdings,chinasoft international limited,computershare hong kong investor services limited,computershare investor services plc,credit bureau asia limited,demica limited,fasoo co.ltd.,infibeam avenues limited,aarti industries limited,advanced chemical industries limited,advani hotels & resorts (india) limited,afaq for energy co. p.l.c,air products and chemicals inc.,avery dennison corporation,avnet holding europe bvba,avnet inc.,banco de chile,banco de crédito del perú s.a.,,winters william thomas,halford andrew nigel,rivett philip george,zoellick robert b.,ramos maria da conceicao das neves calha,apte shirish moreshwar,yueh yi-chuang ,evans gay huey,conner david philbrick
ryanair holdings plc,passenger airlines,ise,swords,ireland,22000,o'leary michael,sorahan neil,65.0,amadeus it group s.a.,cae electronics ltd,cae inc.,cfm international inc.,cfm international inc.,copernicus airport wroclaw,daa plc,daa plc,east midlands airport limited - nottingham leicester derby,export-import bank of the united states,katowice airport,,,,,,,,,,,o'leary michael ,phelan louise ,brennan roisin ,doherty geoff p.,cawley michael ,millar howard michael,o'brien mike ,daly emer p.,nolan anne 
banco bilbao vizcaya argentaria sa,diversified banks,bme,bilbao,spain,115675,genc onur,gomez bravo maria,75.0,allianz se,atento s.a.,aubay société anonyme,banco de españa,bbva securities inc.,d-wave quantum inc.,euronext n.v.,european central bank,gmp property socimi s.a.,hundred sac,abertis infraestructuras s.a.,acerinox s.a.,acs dobfar s.p.a.,adif alta velocidad,aedas homes s.a.,aeroportos do nordeste do brasil s.a.,affle (india) limited,allergy therapeutics iberica s.l.,banco santander-chile,bbva seguros s.a. de seguros y reaseguros,,genc onur ,andres torrecillas jose miguel,garijo lopez belen ,de oliveira raul catarino galamba,maldonado ramos jose ,llorens juan pi,maiz carro lourdes ,peralta moreno ana cristina,caruana lacorte jaime felix
tui ag,"hotels, resorts and cruise lines",xtra,hanover,germany,65018,ebel sebastian,kiep mathias,30.0,addnode group ab (publ),aercap holdings n.v.,alliances developpement immobilier s.a.,artefact sa,bank of america europe designated activity company,bank of china limited,barclays bank ireland plc,bred banque populaire s.a.,citibank n.a. london branch,commerzbank ag,,,,,,,,,,,,jakobi frank ,flintermann wolfgang ,ernst edgar ,barczewski andreas ,strempel anette ,bremme peter ,mcconville coline lucille,weinhofer stefan ,riu joan trian
credit suisse group ag,diversified capital markets,swx,zurich,switzerland,48150,,,,bgc group inc.,comarch s.a.,computershare shareowner services llc,intesa sanpaolo s.p.a.,london finance & investment group p.l.c.,mitie group plc,q4 inc.,software aktiengesellschaft,the klein group llc,thoughtworks holding inc.,aquaknight shipping co. ltd.,brightoil 639 oil tanker pte. ltd,brightoil 666 oil tanker pte. ltd,brightoil 688 oil tanker pte. ltd,brightoil galaxy tanker ltd,brightoil grace tanker ltd.,brightoil gravity tanker ltd.,caesars resort collection llc,eldista gmbh,elevance health inc.,,board member,,,,,,,,
kghm polska miedz sa,copper,wse,lubin,poland,34352,zdzikot tomasz,wodejko mateusz,,bank gospodarstwa krajowego,bpx s.a.,energetyka sp z o o,european investment bank,exalo drilling s.a.,grenevia s.a.,hutmen s.a.,kghm metraco s.a.,mercus logistyka sp. z o.o.,przedsiebiorstwo budowy kopaln pebeka s.a.,abacus mining & exploration corporation,boryszew s.a.,fermat 1 s.á r.l.,future 1 spolka z o.o.,grupa azoty zaklady chemiczne police s.a.,kghm international ltd.,kghm zanam spólka akcyjna,nexans s.a.,pol-miedz trans sp. z o.o.,quadra fnx holdings chile limitada,,krupa katarzyna ,zarzycki wojciech ,czyczerski jozef ,szarek boguslaw ,kisielewicz andrzej ,darowski przemyslaw ,wojtkow marek ,zimroz radoslaw ,ziubroniewicz piotr 
vitrolife ab,biotechnology,om,gothenburg,sweden,1102,brophy bronwyn,tolf patrik,,euroclear sweden ab,illumina inc.,,,,,,,,,ilex medical ltd,,,,,,,,,,sigurdsson jon ,marions pia ,sorensen karen lykke,blomquist henrik ,holmqvist lars erik,,,,,
tenaris sa,oil and gas equipment and services,bit,luxembourg city,luxembourg,26000,rocca paolo,mondolo alicia,,comisión federal de electricidad,edison energia s.a.,eni s.p.a.,eqs group ag,exiros b.v.,gerdau s.a.,litoral gas s.a.,nucor cold finish wisconsin inc.,nucor corporation,pao tmk,ados pakistan limited,petróleo brasileiro s.a. - petrobras,saudi arabian oil company,techgen s.a. de c.v.,tecpetrol international s.a.,tecpetrol international s.a.,,,,,,vogel hinojosa guillermo francisco,cura german ,tiuba monica ,bonatti roberto ,alberto condorelli carlos ,mario rocca gianfelice ,serra puche jaime jose,ayat simon ,novales-flamarique maria 
ashtead group plc,trading companies and distributors,lse,london,united kingdom,25982,horgan brendan,pratt michael,55.0,equiniti limited,,,,,,,,,,,,,,,,,,,,walker paul ashton,horgan brendan ,pratt michael richard,riches lucinda jane,cockburn angus g.,fratto tanya d.,ruth lindsley ,easterbrook jill ,ribeiro renata ,
rubis sca,gas utilities,enxtpa,paris,france,4458,,krief bruno,,,,,,,,,,,,,,,,,,,,,,bergene nils christian,laurent marc-olivier ,grimonpret-tahon laure ,pointillart erik ,heckenroth olivier ,claquin herve ,mazzacurati chantal ,fiquemont carole ,vinardi carine ,maisonneuve cecile 
rolls-royce holdings plc,aerospace and defense,lse,london,united kingdom,41800,erginbilgic tufan,mccabe helen,,absolent air care group ab (publ),aerospace industrial development corporation,assystem s.a.,ati inc.,ault alliance inc.,avingtrans plc,barnes group inc.,bet shemesh engines ltd.,boustead projects limited,bp p.l.c.,aercap holdings n.v.,alliance aviation services limited,american airlines inc.,azul s.a.,cambria automobiles limited,china harmony auto holding limited,defense logistics agency,evergreen aviation technologies corporation,finnair oyj,fly leasing limited,,erginbilgic tufan ,mccabe helen ,luff nicholas lawrence,gadhia jitesh k.,culmer mark george,goulet beverly k.,strank angela rosemary emily,mars wendy yvonne,behrendt birgit annelies
evraz plc,steel,lse,london,united kingdom,71591,ivanov aleksey,,,computershare investor services plc,east metals ag,evraz llc,genalta recycling inc.,ing-diba ag,jsc evraz nakhodka trade sea port,mechel pao,public joint stock company raspadskaya,public joint stock company vtorresource,sberbank of russia,east metals ag,"jsc ""yuzhny gok""",oao gmk timir,"open joint stock company ""russian railways""",public joint stock company vtorresource,ternium procurement s.a.,,,,,,loboda andrey ,ibragimov ruslan sultanovich,,,,,,,
evolution ab (publ),casinos and gaming,om,stockholm,sweden,12713,carlesund martin,kaplan jacob,,,,,,,,,,,,alberta gaming and liquor commission,entain plc,fanduel inc.,gnuf ltd.,janshen-hahnraths group b.v.,jvh gaming b.v.,kerzner international limited,ontario lottery and gaming corporation,super group (sghc) limited,,von bahr jens ,österberg fredrik ,citron joel tomas,livingstone ian ,drake mimi ,urie sandra ann,,,,
pandora a/s,apparel accessories and luxury goods,cpse,copenhagen,denmark,32000,lacik alexander,boyer-søgaard anders,60.0,afterpay limited,gb group plc,itab shop concept ab (publ),klépierre,medallia inc.,pfsweb inc.,samesystem a/s,sentinelone inc.,shaftesbury capital plc,soundhound ai inc.,dufry ag,macy's inc.,my rewards international limited,,,,,,,,,frigast povl christian lütken,biner lilian fossum,goransson birgitta stymne,kirkegaard marianne ,spindler catherine ,zijderveld jan ,,,
compagnie financiere richemont sa,apparel accessories and luxury goods,swx,bellevue,switzerland,33959,lambert jerome,grund burkhart,80.0,city center investment b.v.,depa plc,eph european property holdings plc,farfetch limited,kering eyewear s.p.a.,monnin s.a.,rouages sa,schwab-feller ag,six sag ag,watches & wonders foundation,alibaba group holding limited,hengdeli holdings limited,kering eyewear s.p.a.,kering eyewear s.p.a.,,,,,,,,lambert jerome ,malherbe josua ,grund burkhart ,brendish clayton m.,whitbread jasmine mary,pictet guillaume ,ramos maria da conceicao das neves calha,eckert jean-blaise ,moss jeffrey 
endesa sa,electric utilities,bme,madrid,spain,9271,bogas galvez jose,palermo marco,65.0,albioma,axis participaciones empresariales sgeic s.a. s.m.e.,banco bilbao vizcaya argentaria s.a.,banco cooperativo español s.a.,banco de sabadell s.a.,banco europeo de inversiones,banco santander s.a.,bankinter s.a.,bnp paribas sa,caixabank s.a.,amazon.com inc.,endesa generación s.a.,endesa medios y sistemas s.l.u.,endesa x servicios s.l.,enel américas s.a.,enel global infrastructure and networks s.r.l.,enel spa,redeia corporación s.a.,reno de medici s.p.a.,,,bogas galvez jose damian,cattaneo flavio ,de velasco ignacio garralda-ruiz,queiroz de barros de lacerda francisco jose,bieto caubet maria eugenia,koplowitz y romero de juseu alicia ,gonzalez de frutos pilar ,halcon cristina de parias,gostinelli francesca 
atos se,it consulting and other services,enxtpa,bezons,france,107013,bihmane nourdine,saleh paul,45.0,amazon web services inc.,elixirr international plc,flowsparks nv,juniper networks inc.,nextdc limited,qts realty trust inc.,ringcentral inc.,,,,aegon uk plc,aegon uk plc,airbus se,akzo nobel n.v.,appian corporation,avl list gmbh,boe technology group company limited,cerner corporation,commissariat à l'energie atomique et aux énergies alternatives,dassault aviation société anonyme,meunier bertrand ,wilman keith ,tinkham elizabeth ,proglio rene ,stange astrid ,sankey vernon louis,niane aminata ,bernis valerie irene amelie monique,louis farès ,asparuhova vesela 
deutsche lufthansa ag,passenger airlines,xtra,cologne,germany,114773,spohr carsten,steenbergen remco,50.0,aena s.m.e. s.a.,aeroporto guglielmo marconi di bologna s.p.a.,aéroports de montréal,afs aviation fuel services gmbh,airbus se,aircraft maintenance and engineering corporation,airmail center frankfurt gmbh,akamai technologies inc.,albatros versicherungsdienste gmbh,amadeus it group s.a.,aircraft maintenance and engineering corporation,austrian airlines technik-bratislava s.r.o,azul s.a.,brussels airlines nv/sa,delta air lines inc.,delvag versicherungs-ag,dlh fuel company mbh,easy trip planners limited,eme aero sp. z.o.o,etihad airways pjsc,,behle christine ,weber jurgen ,kruger harald ,knobel carsten ,hirsch christian ,koch holger benjamin,rohleder birgit ,winkler klaus ,clementi erich 
sagax ab,real estate operating companies,nyse,stockholm,sweden,94,mindus david,segerhammar agneta,,banco santander s.a.,cbre finland oy,danske bank a/s danmarksverige filial,deutsche bank ag bankfilial,deutsche pfandbriefbank ag,euroclear sweden ab,ing groep n.v.,jones lang lasalle b.v.,jones lang lasalle gmbh,jpmorgan chase bank national association,baxter medical ab,compagnie de saint-gobain s.a.,fastighetsaktiebolaget ess-sierra ab,fastighetsaktiebolaget ess-sierra ab,general markets food iberica s.a.u.,kesko oyj,konecranes plc,nokia oyj,pangir ab,pon holdings b.v.,,mindus david ,cederlund johan ,thorell johan ,engelbert philip ,werdelin ulrika ,,,,
samhallsbyggnadsbolaget i norden ab,real estate operating companies,om,stockholm,sweden,33,synnes leiv,tellberg daniel,20.0,avy finans ab,colliers international group inc.,cushman & wakefield plc,jones lang lasalle incorporated,newsec ab,savills plc,tangocm capital markets ab,,,,academedia ab (publ),alive bostad ab,ambea ab (publ),attendo ab (publ),esperi care oy,haninge municipality,haninge municipality,härnösands kommun,ilija batljan invest ab (publ),internationella engelska skolan i sverige ab,schuss lennart ,batljan ilija ,johansson sven-olof ,grimaldi eva swartz,runesten hans ,svensson fredrik ,strom-erichsen anne-grete ,wingborg johannes ,rodert lars eric nils ,
kindred group plc,casinos and gaming,om,sliema,malta,2446,anden nils,kortman patrick,,caesars entertainment inc.,fourcubed acquisition company llc,gambling.com group limited,gaming realms plc,inspired entertainment inc.,kambi group plc,playtech plc,,,,,,,,,,,,,,carlsson evert ,skogster heidi ,boireau cedric christian,gemmel james h.,mccue andy ,randel martin ,shea kenneth ,jansson jonas ,,
metso outotec corp,construction machinery and heavy transportation equipment,hlse,helsinki,finland,16836,vauramo pekka,sipila eeva,60.0,european investment bank,innofactor oyj,jindal steel & power limited,tata international limited,,,,,,,almonty industries inc.,hastings technology metals limited,ivanhoe mines ltd.,jervois global limited,kirby corporation,piedmont lithium inc.,pt freeport indonesia,zinnwald lithium plc,,,stadigh kari henrik,cawen klaus ,talma arja ,rytsola reima ,pearce ian wilton,speranza emanuela ,beamish brian ,koipijarvi terhi ,pakalen niko ,
eqt ab,asset management and custody banks,om,stockholm,sweden,1716,sinding christian,henriksson kim,,euroclear sweden ab,rothschild & co sca,,,,,,,,,,,,,,,,,,,jonsson conni ,wallenberg jacob ,wallenberg marcus ,orr gordon robert-halyburton ,lebot diony c.,cook margo lynn,forssell johan ,entwistle brooks ,,
amplifon spa,health care distributors,bit,milan,italy,19400,vita enrico,galli gabriele,50.0,amplifin spa,audika italia srl,banca monte dei paschi di siena s.p.a.,banca nazionale del lavoro s.p.a.,cassa depositi e prestiti s.p.a.,comfoor bv,crédit agricole s.a.,gn hearing a/s,mediobanca banca di credito finanziario s.p.a.,spindox s.p.a.,afik - test diagnosis & hearing aids ltd,amplifin spa,comfoor bv,ruti levinson institute ltd,,,,,,,,vita enrico ,costa maurizio ,pagani raffaella annamaria,pozza lorenzo ,tamburi giovanni ,donnini laura ,patrizia grieco maria ,diquattro veronica ,morandini lorenza 
sinch ab (publ),application software,om,stockholm,sweden,3587,pang laurinda,saldanha roshan,,ab svensk exportkredit (publ),euroclear sweden ab,,,,,,,,,amazon.com inc.,google llc,hilton worldwide holdings inc.,los angeles times communications llc,salud digna inc,substack inc.,the world bank group,uber technologies inc.,wikipedia,,froberg erik ,stuart johan ,zethraeus bjorn ,stromberg renee robinson,cosgrave bridget ,smith hudson ,,,,
weir group plc,industrial machinery and supplies and components,lse,glasgow,united kingdom,12627,stanton jonathan,heasley john,55.0,computershare investor services plc,,,,,,,,,,,,,,,,,,,,jeremiah barbara s.,stanton jonathan ,heasley john ,chapman clare m.,young stephen g.,mcdonald james r.,mutschler jackie ,hooley anthony ,magara bennetor ,venkatakrishnan srinivasan 
demant a/s,health care equipment,cpse,smørum,denmark,21154,nielsen søren,schneider rené,,impero a/s,össur hf.,william demant invest a/s,,,,,,,,össur hf.,vision rt ltd.,william demant invest a/s,,,,,,,,christiansen niels bjorn,jacobsen niels ,wagner niels ,rasmussen sisse fjelsted,nielsen jorgen moller,duer thomas ,madsen anja ,villumsen kristian ,,
alstom sa,construction machinery and heavy transportation equipment,enxtpa,saint-ouen,france,74513,poupart-lafarge henri,delpit bernard-pierre,,actasys inc.,actia telecom s.a.,aerosun corporation,akasol ag,alicon castalloy limited,ama corporation plc,aq group ab (publ),asahi india glass limited,brand group (m.g) ltd,dassault systèmes se,azerbaijan railways cjsc,cembre s.p.a.,dallas fort worth texas international airport,db regio ag,delhi metro rail corporation limited,department of rapid transit systems,dsb,e001rk sp. z o.o,empresa de transporte de pasajeros metro s.a.,govia thameslink railway ltd,,rucar sylvie ,de beaupuy sylvie kandé,delabrière yann ,bi yong so,prot baudouin ,delbos clotilde ,mastiaux frank ,garcia molina daniel ,guilbon gilles 
