Name,ISIN,IQ_COMPANY_ADDRESS,IQ_PRIMARY_INDUSTRY,IQ_EXCHANGE,IQ_CITY,IQ_COUNTRY_NAME,IQ_EMPLOYEES,IQ_CEO_NAME,IQ_CFO_NAME,IQ_SP_LC_LT,Supplier1,Supplier2,Supplier3,Supplier4,Supplier5,Supplier6,Supplier7,Supplier8,Supplier9,Supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
Vivendi SE,FR0000127771,"42 avenue de Friedland, Cedex 08, Paris, Ile-de-France, 75380, France",Broadcasting,ENXTPA,Paris,France,35000,"de Puyfontaine, Arnaud","Laroze, Francois",NR,Mediobanca Banca di Credito Finanziario S.p.A.,Neurones S.A.,"Rosetta Marketing Group, LLC",Rothschild & Co SCA,Silly Monks Entertainment Limited,Telecom Italia S.p.A.,Telecom Italia S.p.A.,Universal Music Group Treasury Sas,,,Altice Europe N.V,Telecom Italia S.p.A.,TIM S.A.,Universal International Music B.V.,Universal Music Group N.V.,"Universal Music Group, Inc.",,,,,"Bollore, Yannick ","Benacin, Philippe ","Bollore, Vincent ","Lawson-Hall, Catherine F.L.","Stanton, Katie J.","Cardoso, Paulo ","Driot-Argentin, Véronique ","Bihan, Sandrine Le","Reiser, Michèle ","Bollore, Cyrille M.C."
Entain PLC,IM00B5VQMV65,"One New Change, 3rd Floor, London, Greater London, EC4M 9AF, United Kingdom",Casinos and Gaming,LSE,London,United Kingdom,24063,"Nygaard-Andersen, Jette","Wood, Rob",BB,Bragg Gaming Group Inc.,Europort Five Limited,Evolution AB (publ),Fantasma Games AB (publ),"FourCubed Acquisition Company, LLC",Gambling.com Group Limited,Gaming Realms plc,Genius Sports Limited,"Inspired Entertainment, Inc.","Kroll, LLC","BetMGM, LLC",TAB New Zealand,,,,,,,,,,"Nygaard-Andersen, Jette ","Wood, Rob M.","McDowell, Virginia M.","Bouchut, Pierre Bruno Charles","David, Stella Julie","Satz, David M.",,,
AddLife AB,SE0014401378,"Brunkebergstorg 5, Box 3145, Stockholm, Stockholm County, 103 62, Sweden",Life Sciences Tools and Services,OM,Stockholm,Sweden,2296,"Dalborg, Fredrik","Rubenhag, Christina",,"MGI Tech Co., Ltd.",,,,,,,,,,Rikshospitalet University Hospital,,,,,,,,,,"Sjo, Johan ","Roos, Håkan ","Nilsagard, Eva ","Hedelius, Stefan ","Norinder, Birgit Stattin","Elmstedt, Eva ",,,,
International Consolidated Airlines Group SA,ES0177542018,"Waterside (HAA2), PO Box 365, Harmondsworth, Greater London, UB7 0GB, United Kingdom",Passenger Airlines,LSE,Harmondsworth,United Kingdom,68477,"Gallego Martin, Luis","Cadbury, Nicholas",BBB-,Airbus SE,Aurrigo International plc,Computershare Investor Services PLC,Dunwoody Airline Services (Holdings) Limited,John Menzies plc,"Multiservicios Aeroportuarios, S.A.",Phillips 66 Limited,Qatar Airways Limited,Serpista SA,The Boeing Company,Dunwoody Airline Services (Holdings) Limited,Empresa Hispano Cubana De Mantenimiento De Aeronaves Ibeca SA,"LanzaJet, Inc.","Multiservicios Aeroportuarios, S.A.",Qatar Airways Limited,Serpista SA,"Travelport, LP",,,,,"Gallego Martin, Luis ","Embleton, Lynne ","Doyle, Sean Liam","Sansavini, Marco ","Daniels, Adam ","Candela, Fernando ","Ewing, Margaret ","McSharry, Heather Ann","de Torres, Emilio Saracho Rodríguez "
Addtech AB,SE0014781795,"Birger Jarlsgatan 43, Box 5112, Stockholm, Stockholm County, 102 43, Sweden",Trading Companies and Distributors,OM,Stockholm,Sweden,4108,"Stenberg, Niklas","Enarson, Malin",,Euroclear Sweden AB,,,,,,,,,,,,,,,,,,,,"Eriksson, Kenth ","Stenberg, Niklas ","Nordesjo, Malin ","Mattsson, Ulf ","Hedelius, Henrik ","Schaeferdiek, Annikki ",,,,
ArcelorMittal SA,LU1598757687,"24-26, Boulevard d’Avranches, Luxembourg City  1160, Luxembourg",Steel,ENXTAM,Luxembourg City,Luxembourg,154352,"Mittal, Aditya","Christino, Genuino Jose",BBB-,Alkat Sa,"Alpha Metallurgical Resources, Inc.",AM/NS Calvert LLC,AMNS India Limited,Anglo American Metallurgical Coal Pty Ltd.,Anglo American plc,Anglo Coal Limited,Aperam S.A.,ArcelorMittal Gonvarri Brasil Produtos Siderúrgicos S.A.,"ArcelorMittal Gonvarri SSC Slovakia, s.r.o.",AB Snaige,Alkat Sa,AM/NS Calvert LLC,Aperam S.A.,ArcelorMittal CLN Distribuzione Italia srl,ArcelorMittal Gonvarri Brasil Produtos Siderúrgicos S.A.,"ArcelorMittal Gonvarri SSC Slovakia, s.r.o.",ArcelorMittal RZK Celik Servis Merkezi Sanayi ve Ticaret Anonim Sirketi,ArcelorMittal South Africa Limited,ArcelorMittal SSC AB,,"Mittal, Aditya ","Lafont, Bruno ","Ovelmen, Karyn F.","Lins, Clarissa de Araujo","Mittal Bhatia, Vanisha ","Leon Wurth, Michel Alphonse","Burt, Tye W.","de Gucht, Karel ","Schneider, Etienne "
Zur Rose Group AG,CH0042615283,"Walzmühlestrasse 49, Frauenfeld, Thurgau, 8500, Switzerland",Drug Retail,SWX,Frauenfeld,Switzerland,2283,"Hess, Walter","Ziwica, Marcel",,,,,,,,,,,,Datamediq Gmbh,Polyrose Ag,WELL Gesundheit AG,,,,,,,,"Oberhansli, Walter ","Feuerstein, Stefan ","Mielsch, Christian ","Seubert, Florian ","Belliger, Andrea ","Hu, Rongrong ",,,,
Anglo American PLC,GB00B1XZS820,"17 Charterhouse Street, London, Greater London, EC1N 6RA, United Kingdom",Diversified Metals and Mining,LSE,London,United Kingdom,105000,"Wanblad, Duncan","Pearce, Stephen",BBB+,Boom Logistics Limited,Computershare Investor Services 2004 (proprietary) Limited,COPEC S.A.,Corinth Pipeworks S.A.,Cosol Australia Pty Ltd,DRA Global Limited,Epiroc AB (publ),Equiniti Limited,Ferrocarril del Pacífico S.A.,Foraco International SA,Anglo American Platinum Limited,Anglo American Platinum Limited,ArcelorMittal S.A.,Ternium S.A.,Thungela Resources Limited,,,,,,,"Wanblad, Duncan Graham","Pearce, Stephen Thomas","Ashby, Ian Robert","Maxson, Hilary Barbara","Tyler, Ian Paul","Bastos, Marcelo ","Nyasulu, Thembalihle Hixonia","Nyembezi, Nonkululeko Merina Cheryl","Anderson, Magali "
Valeo SE,FR0013176526,"100, rue de Courcelles, Paris, Ile-de-France, 75017, France",Automotive Parts and Equipment,ENXTPA,Paris,France,109900,"Perillat-Piratoine, Christophe","Charvier, Robert",BB+,Actron Technology Corporation,C2A Security Ltd.,"Chiyoda Integre Co.,Ltd.",Constellium SE,"CWB Automotive Electronics Co., Ltd.","Dalian Demaishi Precision Technology Co., Ltd.",EuroGroup Laminations S.p.A.,Igarashi Motors India Limited,IT Link SA,"KODACO Co., Ltd",ABES Technoseal,Auto Partner SA,Chrysler Motors LLC,FCA US LLC,Hudaco Trading (Pty) Ltd.,"Ichikoh Industries, Ltd.","Nissan Motor Co., Ltd.",PL Group S.A.,Tye Soon Limited,,,"Perillat-Piratoine, Christophe ","Moulonguet, Thierry B.","Weill, Veronique ","Steinhorst, Ulrike ","Jego-Laveissiere, Marie-Noelle ","Bezard, Bruno ","Sayer, Patrick Georges","Frachet, Stéphanie ","Avrane-Chopard, Julie "
Faurecia SE,FR0000121147,"23-27, avenue des Champs Pierreux, Nanterre, Ile-de-France, 92000, France",Automotive Parts and Equipment,ENXTPA,Nanterre,France,155840,"Koller, Patrick","Durand, Olivier",BB,Bulten AB (publ),CACEIS Corporate Trust,CIE Automotive India Limited,Dassault Systèmes SE,"EDP - Energias de Portugal, S.A.",Engie SA,ESI Group SA,European Investment Bank,EVA Precision Industrial Holdings Limited,"Grupo Antolin-Irausa, S.A.U.",Bayerische Motoren Werke Aktiengesellschaft,California Energy Commission,Capita Customer Management Limited,ChangAn Inc.,CT Automotive Group plc,Dr. Ing. h.c. F. Porsche AG,Ford Motor Company,General Motors Company,HyVia SAS,Renault-Nissan B.V.,,"Koller, Patrick ","Delabrière, Yann ","Desforges, Odile ","Mercier, Denis ","Levy, Jean-Bernard ","Peugeot, Robert ","Herscher, Penelope A.","Landon, Valerie ","Bernardino, Daniel "
TechnipFMC PLC,GB00BDSFG982,"Hadrian House, Wincomblee Road, Newcastle upon Tyne, Tyne and Wear, NE6 3PL, United Kingdom",Oil and Gas Equipment and Services,NYSE,Newcastle upon Tyne,United Kingdom,20301,"Pferdehirt, Douglas","Melin, Alf",BB+,ANI Integrated Services Limited,Aprogen Medicines Inc.,"Bank of America, National Association",BOMESC Offshore Engineering Company Limited,"Citibank, N.A.",Cords Cable Industries Limited,Corinth Pipeworks S.A.,DNB Bank ASA - New York Branch,DNB Capital LLC,DOF ASA,Abu Dhabi National Oil Company,Aker BP ASA,Dofcon Navegacao Ltda,Energean plc,Esso Exploration and Production Guyana Ltd.,Harvest Technology Group Limited,Indian Oil Corporation Limited,"Infraestructura Energética Nova, S. A. P. I. de C. V.",Ithaca Energy (UK) Limited,Karoon Energy Ltd,,"O'Leary, John C. G.","Priestly, Kay Grace","Farley, Claire Scobee","de Carvalho Filho, Eleazar ","Yearwood, John Anthony","Oevrum, Margareth ","Zurquiyah-Rousset, Sophie ","Gwin, Robert G.",
Prudential PLC,GB0007099541,"1 Angel Court, London, Greater London, EC2R 7AG, United Kingdom",Life and Health Insurance,LSE,London,United Kingdom,14676,"Wadhwani, Anil","Bulmer, Ben",A,M&G plc,"PPM America, Inc.",Rothschild & Co SCA,Sanne Group plc,,,,,,,CIMB Bank Philippines Inc.,G-Xchange Inc.,Jackson Financial Inc.,"PPM Holdings, Inc.","Prudential Financial, Inc.",Pulsent Corporation,Shopee Singapore Private Limited,Standard Chartered Bank,United Overseas Bank Limited,,"Vadera, Shriti Vinodkant","Wadhwani, Anil ","Law, David John Alexander","Anderson, Jeremy David-Bruce","Chua, Sock Koong ","Sartorel, George David","Yip, Yok Tak Amy ","Lu, Ming ","Wong, Kai Yuan ","Basu, Arijit "
THG PLC,GB00BMTV7393,"Voyager House, 5th Floor, Chicago Avenue, Manchester, Greater Manchester, M90 3DQ, United Kingdom",Broadline Retail,LSE,Manchester,United Kingdom,8239,"Moulding, Matthew","Sanders, Damian",B-,AutoStore Holdings Ltd.,Barclays Bank PLC,Bynder Limited,"Citibank N.A., London Branch",Content Square SAS,Equiniti Group Limited,HSBC Bank plc,JPMorgan Chase & Co.,"LiveRamp Holdings, Inc.",National Westminster Bank Plc,ASDA Group Limited,Co-operative Group Limited,Coca-Cola Europacific Partners PLC,Costco Wholesale Corporation,Family Mart Ltd,Live Verdure Ltd,Matalan Limited,"Mondelez International, Inc.",Philip Morris International Inc.,Tesco PLC,,"Moulding, Matthew J.","Sanders, Damian ","Gallemore, John Andrew","McDonald, Iain ","Kent, Gillian D. C.","Moore, Dean Roderick","Farr, Sue ","Koopman, Edward Johan","Jones, Helen Victoria"
Commerzbank AG,DE000CBK1001,"Kaiserplatz, Frankfurt am Main, Hessen, 60311, Germany",Diversified Banks,XTRA,Frankfurt am Main,Germany,37487,"Knof, Manfred","Orlopp, Bettina",A-,Allianz SE,alstria office REIT-AG,Aukett Swanke Group Plc,AVANGARD Joint Stock BANK,CapitaLand Integrated Commercial Trust,comdirect bank AG,Dianomi plc,mBank S.A.,SPIE GmbH,SYZYGY AG,adesso SE,Adtran Networks SE,Akasol AG,Allgeier SE,Ansaldo Energia S.p.A.,AVANGARD Joint Stock BANK,avantum consult AG,Banco de Chile,Banco Itaú Chile,Banco Santander-Chile,,"Tschäge, Uwe ","Müller, Klaus-Peter ","Tumpel-Gugerell, Gertrude ","Westhoff, Frank ","Keese, Burkhard ","Donges, Jutta Anneliese","Czichowski, Frank ","Leuchters, Maxi ","Lürßen, Friedrich "
S4 Capital PLC,GB00BFZZM640,"12 St. James's Place, London, Greater London, SW1A 1NX, United Kingdom",Advertising,LSE,London,United Kingdom,8551,,"Basterfield, Mary",B+,Share Registrars Limited,,,,,,,,,,Allianz SE,Alphabet Inc.,"Amazon.com, Inc.",Apple Inc.,Bayerische Motoren Werke Aktiengesellschaft,"Canva, Inc.","Constellation Brands, Inc.",HP Inc.,"Meta Platforms, Inc.",Microsoft Corporation,"Sorrell, Martin S.","Basterfield, Mary Margaret","ter Haar, Wesley ","Knaap, Victor ","Martin, Christopher S.","Spirit, Scott Edward","Roy, Paul David","Day, Colin Richard","Walker, Rupert Faure","Pinto, Daniel Emile"
Dufry AG,CH0023405456,"BrunngAesslein 12, Basel, Basel-Stadt, 4010, Switzerland",Other Specialty Retail,SWX,Basel,Switzerland,23779,"Espel, Xavier","Gerster, Yves",BB,"Abasic, S.L.U.",ABSOLUT VODKA,adidas AG,Aerodrom Nikola Tesla a.d.,Aeroporto Internacional de Guarulhos/São Paulo - Governador Andre Franco Montoro,Aeropuertos Dominicanos Siglo XXI SA,"Alfred Dunhill, Ltd.","Altria Group, Inc.",Apple Inc.,Arlanda Airport,Dufry International AG,"Lojas Francas de Portugal, S.A.",The Nuance Group (Australia) Pty Ltd,The Nuance Group (Sverige) Ab,,,,,,,,"Kahale, Sami ","Benetton, Alessandro ","Min, HeeKyung ","Camino, Luis Maroto","Guilfoile, Mary J. Steele","Bouton, Xavier ","Moya-Angeler Cabrera, Joaquín ","Tyler-Cagni, Lynda Christine","Sen, Ranjan "
Antofagasta PLC,GB0000456144,"103 Mount Street, London, Greater London, W1K 2TJ, United Kingdom",Copper,LSE,London,United Kingdom,7494,"Arriagada Herrera, Ivan","Ortiz, Mauricio",BBB,Artikos Chile S.A.,Caterpillar Inc.,Compañía De Inversiones Adriático S.A,Computershare Investor Services PLC,Enex S.A.,Hapag-Lloyd Aktiengesellschaft,Komatsu Ltd.,,,,Barrick Gold Corporation,Compañia Minera Zaldívar SpA,,,,,,,,,"Fontbona, Jean-Paul Luksic","Soza, Vivianne Amelia Blanlot","Castro Fones, Francisca ","Jensen, Tony Alan","Jara, Ramon F.","Gonzlez Claro, Juan ","Luksic Craig, Andronico Mariano","Bande, Jorge ","Anglin, Arthur Edward Michael","Parot, Maria Eugenia"
Husqvarna AB,SE0001662230,"Regeringsgatan 28, Stockholm, Stockholm County, 111 53, Sweden",Agricultural and Farm Machinery,OM,Stockholm,Sweden,14371,"Hajman, Pavel","Burke, Terry",BBB,Euroclear Sweden AB,HCL Technologies Limited,Nolato AB (publ),OEM International AB (publ),Remsons Industries Limited,Suprajit Engineering Limited,,,,,BHG Group AB (publ),"Lowe's Companies, Inc.",,,,,,,,,"Johnstone, Thomas ","Pettersson, Lars ","Bonde, Ingrid ","Martinson, Katarina ","Nodhall, Daniel ","Neuschwander, Bertrand ","Robins, Christine Marie","Byström, Dan ","Krantz, Anders ","Loof, Torbjorn "
Continental AG,DE0005439004,"Vahrenwalder Strasse 9, Hanover, Lower Saxony, 30165, Germany",Automotive Parts and Equipment,XTRA,Hanover,Germany,203746,"Setzer, Nikolai","Durrfeld, Katja",BBB,"AEye, Inc.",AutoStore Holdings Ltd.,Cerence Inc.,"Chiyoda Integre Co.,Ltd.",CPI Property Group,"CWB Automotive Electronics Co., Ltd.","Dalian Demaishi Precision Technology Co., Ltd.",Data I/O Corporation,"Everbridge, Inc.","Global PMX Co., Ltd.","AEye, Inc.",Auto Partner SA,Ford Motor Company,Mercedes-Benz Group AG,Oponeo.pl S.A.,Renault-Nissan B.V.,Renault-Nissan-Mitsubishi Fund,Stamford Tyres Corporation Limited,Stellantis N.V.,TravelCenters of America Inc.,,"Benner, Christiane ","Scholz, Stefan ","Nonnenmacher, Rolf ","Schonfelder, Jorg ","Nordmann, Dirk ","Iglhaut, Michael ","Schaeffler, Georg F. W.","Dunkel, Gunter ","Rosenfeld, Klaus "
Sopra Steria Group SA,FR0000050809,"6 avenue Kleber, Paris, Ile-de-France, 75116, France",IT Consulting and Other Services,ENXTPA,Paris,France,53954,"Malarge, Cyril","du Vignaux, Etienne",,Ace Capital Partners,Axway Software SA,Eric Hayat Conseil,GitLab Inc.,ITCONS E-Solutions Limited,Questback Group AS,Sopra GMT SA,Unibail-Rodamco-Westfield SE,,,Airbus S.A.S.,Axway Software SA,Axway Software SA,BNP Paribas SA,Cabinet Office,Conservatoire National Des Arts Et Métiers,Crédit Agricole S.A.,Department for Work and Pensions,Electricité de France S.A.,French Ministry for the Economy and Finance,"Pasquier, Pierre ","Hayat, Eric ","Pasquier, Eric ","Clark Bracco, Kathleen ","Placet, Jean-Luc ","Rigal-Drogerys, Marie-Helene ","Anciaux, Astrid ","Remond, Sylvie ","Scale, Jessica ","Gollner, Michael "
JD Sports Fashion PLC,GB00BYX91H57,"Hollinsbrook Way, Pilsworth, Bury, Lancashire, BL9 8RR, United Kingdom",Other Specialty Retail,LSE,Bury,United Kingdom,75149,"Schultz, Regis","Greenhalgh, Neil",,adidas AG,Apex Global Brands Inc.,ATTRAQT Group plc,Balanced Commercial Property Trust Ltd,Berghaus Limited,British Land Company Plc,CapitaLand Integrated Commercial Trust,CapitaLand Malaysia Trust,CSMall Group Limited,Eagle Eye Solutions Group plc,Focus Group Holdings Limited,GOL REALISATIONS LIMITED,Kukri Sports Ltd.,Pentland Capital Limited,Topgrade Sportswear Ltd.,,,,,,,"Schultz, Regis Andre","Greenhalgh, Neil ","Ashton, Helen Jane","Williams, Suzanne Dorothy","Smith, Kathryn Louise","Long, Andrew Michael","Hoyt, Hubertus Georg","Sabetnia, Mahbobeh ","Dyson, Ian "
Bechtle AG,DE0005158703,"Bechtle Platz 1, Neckarsulm, Baden-Württemberg, 74172, Germany",IT Consulting and Other Services,XTRA,Neckarsulm,Germany,14505,"Olemotz, Thomas","Sagowski, Stefan",,Megaport Limited,"Owl Labs, Inc",USU Software AG,,,,,,,,,,,,,,,,,,"Winkler, Klaus ","Drautz, Uli ","Dobitsch, Kurt ","Eberle, Daniela Ludewig","Hess, Thomas ","Unser, Michael ","Koenig, Elmar ","Stegmann, Sandra ","Grünert, Lars ","Reichart, Elke "
Deutsche Bank AG,DE0005140008,"Taunusanlage 12, Frankfurt am Main, Hessen, 60325, Germany",Diversified Capital Markets,XTRA,Frankfurt am Main,Germany,87055,"Sewing, Christian","von Moltke, James",A-,Aukett Swanke Group Plc,"BGC Group, Inc.","Bottomline Technologies, Inc.",British Land Company Plc,"CTBC Bank Co., Ltd.",DIC Asset AG,DWS Group GmbH & Co. KGaA,Emakina Belgique SA,Emakina Group SA,GFT Technologies SE,Accell Group N.V.,"Acerinox, S.A.",ACLEDA Bank Plc.,adesso SE,Adtran Networks SE,AEG JD 01 Limited,AEG MH 03 Limited,Akasol AG,Akzo Nobel Pakistan Limited,Amadeus FiRe AG,,"Winkeljohann, Norbert ","Schulze, Frank ","Thain, John Alexander","Clark, Mayree Carroll","Valcarcel, Dagmar ","Witter, Frank ","Mark, Henriette ","Griswold, Benjamin Howard","Martin, Lynn Morley"
Standard Chartered PLC,GB0004082847,"1 Basinghall Avenue, London, Greater London, EC2V 5DD, United Kingdom",Diversified Banks,LSE,London,United Kingdom,85993,"Winters, William","Halford, Andrew",BBB+,ADN Telecom Limited,Aubay Société Anonyme,Bao Viet Holdings,Chinasoft International Limited,Computershare Hong Kong Investor Services Limited,Computershare Investor Services PLC,Credit Bureau Asia Limited,Demica Limited,"FASOO Co.,Ltd.",Infibeam Avenues Limited,Aarti Industries Limited,Advanced Chemical Industries Limited,Advani Hotels & Resorts (India) Limited,Afaq For Energy Co. P.L.C,"Air Products and Chemicals, Inc.",Avery Dennison Corporation,Avnet Holding Europe Bvba,"Avnet, Inc.",Banco de Chile,Banco de Crédito del Perú S.A.,,"Winters, William Thomas","Halford, Andrew Nigel","Rivett, Philip George","Zoellick, Robert B.","Ramos, Maria Da Conceicao Das Neves Calha","Apte, Shirish Moreshwar","Yueh, Yi-Chuang ","Evans, Gay Huey","Conner, David Philbrick"
Ryanair Holdings PLC,IE00BYTBXV33,"Dublin Office, Airside Business Park, Swords, Co. Dublin, K67 NY94, Ireland",Passenger Airlines,ISE,Swords,Ireland,22000,"O'Leary, Michael","Sorahan, Neil",BBB+,"Amadeus IT Group, S.A.",CAE Electronics Ltd,CAE Inc.,"CFM International, Inc.","CFM International, Inc.",Copernicus Airport Wroclaw,daa plc,daa plc,"East Midlands Airport Limited - Nottingham, Leicester, Derby",Export-Import Bank of the United States,Katowice Airport,,,,,,,,,,,"O'Leary, Michael ","Phelan, Louise ","Brennan, Roisin ","Doherty, Geoff P.","Cawley, Michael ","Millar, Howard Michael","O'Brien, Mike ","Daly, Emer P.","Nolan, Anne "
Banco Bilbao Vizcaya Argentaria SA,ES0113211835,"Plaza San NicolAs, 4, Bilbao, Basque Country, 48005, Spain",Diversified Banks,BME,Bilbao,Spain,115675,"Genc, Onur","Gomez Bravo, Maria",A,Allianz SE,Atento S.A.,Aubay Société Anonyme,Banco de España,BBVA Securities Inc.,D-Wave Quantum Inc.,Euronext N.V.,European Central Bank,"GMP Property SOCIMI, S.A.",Hundred SAC,"Abertis Infraestructuras, S.A.","Acerinox, S.A.",ACS Dobfar S.p.A.,Adif Alta Velocidad,"Aedas Homes, S.A.",Aeroportos do Nordeste do Brasil S.A.,Affle (India) Limited,Allergy Therapeutics Iberica S.L.,Banco Santander-Chile,"BBVA Seguros, S.A. de Seguros y Reaseguros",,"Genc, Onur ","Andres Torrecillas, Jose Miguel","Garijo Lopez, Belen ","de Oliveira, Raul Catarino Galamba","Maldonado Ramos, Jose ","Llorens, Juan Pi","Maiz Carro, Lourdes ","Peralta Moreno, Ana Cristina","Caruana Lacorte, Jaime Felix"
TUI AG,DE000TUAG000,"Karl-Wiechert-Allee 4, Hanover, Lower Saxony, 30625, Germany","Hotels, Resorts and Cruise Lines",XTRA,Hanover,Germany,65018,"Ebel, Sebastian","Kiep, Mathias",B,Addnode Group AB (publ),AerCap Holdings N.V.,Alliances Developpement Immobilier S.A.,Artefact SA,Bank Of America Europe Designated Activity Company,Bank of China Limited,Barclays Bank Ireland PLC,BRED Banque Populaire S.A.,"Citibank N.A., London Branch",Commerzbank AG,,,,,,,,,,,,"Jakobi, Frank ","Flintermann, Wolfgang ","Ernst, Edgar ","Barczewski, Andreas ","Strempel, Anette ","Bremme, Peter ","McConville, Coline Lucille","Weinhofer, Stefan ","Riu, Joan Trian"
Credit Suisse Group AG,CH0012138530,"Paradeplatz 8, Zurich, Zurich, 8001, Switzerland",Diversified Capital Markets,SWX,Zurich,Switzerland,48150,,,NR,"BGC Group, Inc.",Comarch S.A.,Computershare Shareowner Services LLC,Intesa Sanpaolo S.p.A.,London Finance & Investment Group P.L.C.,Mitie Group plc,Q4 Inc.,Software Aktiengesellschaft,"The Klein Group, LLC","Thoughtworks Holding, Inc.",Aquaknight Shipping Co. Ltd.,Brightoil 639 Oil Tanker Pte. Ltd,Brightoil 666 Oil Tanker Pte. Ltd,Brightoil 688 Oil Tanker Pte. Ltd,Brightoil Galaxy Tanker Ltd,Brightoil Grace Tanker Ltd.,Brightoil Gravity Tanker Ltd.,"Caesars Resort Collection, LLC",Eldista GmbH,"Elevance Health, Inc.",,Board Member,,,,,,,,
KGHM Polska Miedz SA,PLKGHM000017,"ul. M. Sklodowskiej-Curie 48, Lubin  59-301, Poland",Copper,WSE,Lubin,Poland,34352,"Zdzikot, Tomasz","Wodejko, Mateusz",,Bank Gospodarstwa Krajowego,BPX S.A.,ENERGETYKA SP Z O O,European Investment Bank,Exalo Drilling S.A.,Grenevia S.A.,Hutmen S.A.,KGHM Metraco S.A.,MERCUS Logistyka sp. z o.o.,Przedsiebiorstwo Budowy Kopaln PeBeKa S.A.,Abacus Mining & Exploration Corporation,Boryszew S.A.,Fermat 1 S.á r.l.,Future 1 Spolka Z O.O.,Grupa Azoty Zaklady Chemiczne Police S.A.,KGHM International Ltd.,Kghm Zanam Spólka Akcyjna,Nexans S.A.,Pol-Miedz Trans Sp. z o.o.,Quadra FNX Holdings Chile Limitada,,"Krupa, Katarzyna ","Zarzycki, Wojciech ","Czyczerski, Jozef ","Szarek, Boguslaw ","Kisielewicz, Andrzej ","Darowski, Przemyslaw ","Wojtkow, Marek ","Zimroz, Radoslaw ","Ziubroniewicz, Piotr "
Vitrolife AB,SE0011205202,"Gustaf Werners gata 2, Gothenburg, Västra Götaland County, 421 32, Sweden",Biotechnology,OM,Gothenburg,Sweden,1102,"Brophy, Bronwyn","Tolf, Patrik",,Euroclear Sweden AB,"Illumina, Inc.",,,,,,,,,Ilex Medical Ltd,,,,,,,,,,"Sigurdsson, Jon ","Marions, Pia ","Sorensen, Karen Lykke","Blomquist, Henrik ","Holmqvist, Lars Erik",,,,,
Tenaris SA,LU0156801721,"26, Boulevard Royal, 4th Floor, Luxembourg City  2449, Luxembourg",Oil and Gas Equipment and Services,BIT,Luxembourg City,Luxembourg,26000,"Rocca, Paolo","Mondolo, Alicia",,Comisión Federal de Electricidad,Edison Energia S.A.,Eni S.p.A.,EQS Group AG,Exiros B.V.,Gerdau S.A.,Litoral Gas S.A.,"Nucor Cold Finish Wisconsin, Inc.",Nucor Corporation,PAO TMK,ADOS Pakistan Limited,Petróleo Brasileiro S.A. - Petrobras,Saudi Arabian Oil Company,Techgen S.A. de C.V.,Tecpetrol International S.A.,Tecpetrol International S.A.,,,,,,"Vogel Hinojosa, Guillermo Francisco","Cura, German ","Tiuba, Monica ","Bonatti, Roberto ","Alberto Condorelli, Carlos ","Mario Rocca, Gianfelice ","Serra Puche, Jaime Jose","Ayat, Simon ","Novales-Flamarique, Maria "
Ashtead Group PLC,GB0000536739,"100 Cheapside, London, Greater London, EC2V 6DT, United Kingdom",Trading Companies and Distributors,LSE,London,United Kingdom,25982,"Horgan, Brendan","Pratt, Michael",BBB-,Equiniti Limited,,,,,,,,,,,,,,,,,,,,"Walker, Paul Ashton","Horgan, Brendan ","Pratt, Michael Richard","Riches, Lucinda Jane","Cockburn, Angus G.","Fratto, Tanya D.","Ruth, Lindsley ","Easterbrook, Jill ","Ribeiro, Renata ",
Rubis SCA,FR0013269123,"46, rue BoissiEre, Paris, Ile-de-France, 75116, France",Gas Utilities,ENXTPA,Paris,France,4458,,"Krief, Bruno",,,,,,,,,,,,,,,,,,,,,,"Bergene, Nils Christian","Laurent, Marc-Olivier ","Grimonpret-Tahon, Laure ","Pointillart, Erik ","Heckenroth, Olivier ","Claquin, Herve ","Mazzacurati, Chantal ","Fiquemont, Carole ","Vinardi, Carine ","Maisonneuve, Cecile "
Rolls-Royce Holdings PLC,GB00B63H8491,"Kings Place, 90 York Way, London, Greater London, N1 9FX, United Kingdom",Aerospace and Defense,LSE,London,United Kingdom,41800,"Erginbilgic, Tufan","McCabe, Helen",,Absolent Air Care Group AB (publ),Aerospace Industrial Development Corporation,Assystem S.A.,ATI Inc.,"Ault Alliance, Inc.",Avingtrans plc,Barnes Group Inc.,Bet Shemesh Engines Ltd.,Boustead Projects Limited,BP p.l.c.,AerCap Holdings N.V.,Alliance Aviation Services Limited,"American Airlines, Inc.",Azul S.A.,Cambria Automobiles Limited,China Harmony Auto Holding Limited,Defense Logistics Agency,Evergreen Aviation Technologies Corporation,Finnair Oyj,Fly Leasing Limited,,"Erginbilgic, Tufan ","McCabe, Helen ","Luff, Nicholas Lawrence","Gadhia, Jitesh K.","Culmer, Mark George","Goulet, Beverly K.","Strank, Angela Rosemary Emily","Mars, Wendy Yvonne","Behrendt, Birgit Annelies"
