Name,ISIN,IQ_COMPANY_ADDRESS,IQ_PRIMARY_INDUSTRY,IQ_EXCHANGE,IQ_CITY,IQ_COUNTRY_NAME,IQ_EMPLOYEES,IQ_CEO_NAME,IQ_CFO_NAME,IQ_SP_LC_LT,Supplier1,Supplier2,Supplier3,Supplier4,Supplier5,Supplier6,Supplier7,Supplier8,Supplier9,Supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
Smiths Group PLC,GB00B1WY2338,"11-12 St James's Square, 4th Floor, London, Greater London, SW1Y 4LB, United Kingdom",Industrial Conglomerates,LSE,London,United Kingdom,15000,"Keel, Paul","Scherrer, Clare",BBB+,Equiniti Limited,,,,,,,,,,U.S. Department of Homeland Security,,,,,,,,,,,Board Member,"Buckley, George W.","Keel, Paul A.","Scherrer, Clare ","Seeger, William C.","Seligman, Mark Donald","Dowling, Ann ","Tata, Noel Naval","Cheng, Pam P."
Remy Cointreau SA,FR0000130395,"rue Joseph Pataa, Cognac, Poitou-Charentes, 16100, France",Distillers and Vintners,ENXTPA,Cognac,France,2021,"Vallat, Éric","Marotta, Luca",NR,Andromede S.A.,Oeneo SA,Orpar S.A.,Orpar S.A.,William Grant & Sons Holdings Limited,,,,,,,,,,,,,,,,,Board Member,"De Leusse, Marie-Amelie Jacquet","Dubreuil, Caroline Bois Heriard","Pavlovsky, Bruno ","Saucier, Guylaine ","Heriard Dubreuil, Marc ","Dubreuil, Laure Heriard","Jolivet, Olivier ","Heriard Dubreuil, Elie "
Thule Group AB,SE0006422390,"Fosievägen 13, Malmö, Skåne County, 214 31, Sweden",Leisure Products,OM,Malmö,Sweden,2560,"Ankarberg, Mattias","Lindqvist, Jonas",,Euroclear Sweden AB,,,,,,,,,,"Media Markt TV-HiFi-Elektro GmbH (München, Germany)","The Home Depot, Inc.",,,,,,,,,,Board Member,"Eckerstrom, Hans ","Ankarberg, Mattias ","Mellquist, Helene ","Willberg, Helene ","McPhee, Sarah ","Westman, Johan ","Jensen, Anders ",
Holcim AG,CH0012214059,"Grafenauweg 10, Zug, Zug, 6300, Switzerland",Construction Materials,SWX,Zug,Switzerland,60422,"Jenisch, Jan","Kindler, Steffen",BBB+,Billerud AB (publ),Companhia Energética de Minas Gerais - CEMIG,Mensch und Maschine Software SE,Mersen S.A.,MiX Telematics Limited,PT Patra Supplies & Services,SigmaRoc plc,Your Agency SA,,,Chilanga Cement PLC,Holcim (Liban) S.A.L.,"Holcim Philippines, Inc.",Lafarge Africa Plc,LafargeHolcim Bangladesh Limited,Strabag SE,Thammasat University,,,,,Board Member,"Jenisch, Jan Philipp","Sorensen, Hanne Birgitte Breinbjerg","Schmidheiny, Thomas M.","Block, Philippe ","Oleas, Jurg ","Kidwai, Naina Lal ","Ramirez, Claudia Sender","Fausing, Kim "
Telecom Italia SpA,IT0003497168,"Corso D’Italia 41, Rome, Rome, 00198, Italy",Integrated Telecommunication Services,BIT,Rome,Italy,50155,"Labriola, Pietro","Calaza, Adrian",B+,Amdocs Limited,AZ Communication Company Ltd.,Banca Regionale Europea Società per Azioni,Banco BPM S.p.A.,BT Group plc,Capgemini SE,Cassa Depositi e Prestiti S.p.A.,Cassa Depositi e Prestiti S.p.A.,COIMA RES S.p.A. SIIQ,Covivio,Cassa Depositi e Prestiti S.p.A.,Cassa Depositi e Prestiti S.p.A.,Digi Communications N.V.,Infrastrutture Wireless Italiane S.p.A.,Infrastrutture Wireless Italiane S.p.A.,Intred S.p.A.,Intred S.p.A.,IT Telecom Srl,Italtel S.p.A.,Nordcom S.P.A,,Board Member,"Rossi, Salvatore ","Labriola, Pietro ","Bonomo, Paola ","Luzzi, Federico Ferro","Fallacara, Francesco ","Sapienza, Paola ","Moretti, Marella ","Pansa, Alessandro "
MERLIN Properties SOCIMI SA,ES0105025003,"Paseo de la Castellana, 257, Madrid, Madrid, 28046, Spain",Diversified REITs,BME,Madrid,Spain,256,"Clemente Orrego, Ismael","Ollero Barrera, Miguel",BBB,"Banco Santander, S.A.","Banco Santander, S.A.","Banco Santander, S.A.","CaixaBank, S.A.","Cbre Valuation Advisory, Sl",European Investment Bank,Jone Lang Lasalle Property Consultants Pte Ltd,Savills plc,,,"Banco Santander, S.A.","Caprabo, S.A.",Comunidad de Madrid,"Desarrollo Urbano De Patraix, Sociedad Anonima","Desarrollos Urbanísticos Udra, S.A.U.","Endesa, S.A.","G36 Development, S.A.","Grupo Empresarial San José, S.A.",Hoteles Turísticos Unidos S.A.,"Indra Sistemas, S.A.",,Board Member,"Garcia-Carranza Benjumea, Francisco Javier","Clemente Orrego, Ismael ","Ollero Barrera, Miguel ","García Fau, Ana María","Jordá Castro, María Luisa","Johnston, George Donald ","Novela Berlín, Emilio ","Ortiz Vaamonde, Fernando Javier"
Legrand SA,FR0010307819,"128 Av. du Maréchal de Lattre de Tassigny, Limoges, Limousin, 87045, France",Electrical Components and Equipment,ENXTPA,Limoges,France,37134,"Coquart, Benoît","Lemery, Franck",A-,Micropole S.A.,"Sonos, Inc.",,,,,,,,,"Amazon.com, Inc.",Cambridge Electronic Design Limited,Choo Chiang Holdings Ltd.,Comet,Comoli Ferrari & c. spa,"Graybar Electric Company, Inc.",Legrand France SA,"Menard, Inc.",Penta Teknoloji Urunleri Dagitim Ticaret A.S.,Rexel S.A.,,Board Member,"Garcia-Poveda, Angeles ","Coquart, Benoît ","Elia, Annalisa Loustau","Boccon-Gibod, Isabelle ","Landel, Michel ","Gilhuly, Edward Arthur","Bazil, Olivier ","Valentin, Benot "
Eurofins Scientific SE,FR0014000MR3,"23 Val Fleuri, Luxembourg City  1526, Luxembourg",Life Sciences Tools and Services,ENXTPA,Luxembourg City,Luxembourg,62000,"Martin, Gilles","Lebras, Laurent",,Stichting Pamm Laboratoria Voor Pathologie En Medische Microbiologie,,,,,,,,,,Emyria Limited,Endexx Corporation,Incannex Healthcare Limited,"Telesis Bio, Inc.",,,,,,,,Board Member,"Martin, Gilles G.","Hanote, Valerie ","Luchetta, Patrizia ","Rakovsky, Pascal ","Roos, Evie ","Martin, Yves-Loïc ","Pouchantchi, Fereshteh ","Rauh, Ivo "
Allfunds Group PLC,GB00BNTJ3546,"2 Fitzroy Place, 8 Mortimer Street, London, Greater London, W1T 3JJ, United Kingdom",Asset Management and Custody Banks,ENXTAM,London,United Kingdom,1031,"Alcaraz Lopez, Juan","Perera, Alvaro",,,,,,,,,,,,,,,,,,,,,,,Board Member,"Bennett, David Jonathan","Alcaraz Lopez, Juan ","Dolly, Lisa Ann","Perez Renovales, David ","Kleinman, Blake C.","Saurel, Leonora O.","Korp, Johannes ","Valier, Andrea "
Delivery Hero SE,DE000A2E4K43,"Oranienburger Strasse 70, Berlin, Berlin, 10117, Germany",Restaurants,XTRA,Berlin,Germany,47208,"Oestberg, L.","Thomassin, Emmanuel",B-,Adyen N.V.,"Braze, Inc.",Freshworks Inc.,Mastercard Incorporated,"PayPal Holdings, Inc.",Rothschild & Co SCA,,,,,Americana Restaurants International PLC,Inversiones CMR S.A.S.,Tung Lok Restaurants (2000) Ltd,,,,,,,,,Board Member,"Enderle, Martin ","Oestberg, L. Niklas","Kolek, Patrick ","Thomassin, Emmanuel ","Osterrieth, Sigrid ","Doris, Jeri ","Gorgas, Jeanette Lee","Ardbo, Gabriella "
